testDate,total_tested,confirmed_cases,deaths
3/10/2020,326,20,0
3/11/2020,367,25,0
3/12/2020,418,32,0
3/13/2020,444,46,0
3/14/2020,708,64,0
3/15/2020,932,93,0
3/16/2020,1143,105,0
3/17/2020,1500,160,1
3/18/2020,2052,288,3
3/19/2020,3151,422,4
3/20/2020,4286,585,5
3/21/2020,6247,753,6
3/22/2020,8374,1046,9
3/23/2020,9868,1283,12
3/24/2020,11485,1535,16
3/25/2020,14209,1865,19
3/26/2020,16631,2538,26
3/27/2020,21542,3026,34
3/28/2020,25429,3491,47
3/29/2020,27762,4596,65
3/30/2020,30446,5056,72
3/31/2020,35225,5994,99
4/1/2020,40384,6980,141
4/2/2020,43656,7695,157
4/3/2020,48048,8904,210
4/4/2020,53581,10357,243
4/5/2020,58983,11256,274
4/6/2020,62942,12262,307
4/7/2020,68732,13549,380
4/8/2020,75066,15078,462
4/9/2020,80857,16422,528
4/10/2020,87527,17887,596
4/11/2020,92779,19180,677
4/12/2020,100735,20852,720
4/13/2020,105768,22025,794
4/14/2020,110616,23247,868
4/15/2020,116929,24593,948
4/16/2020,122589,25733,1072
4/17/2020,130163,27575,1134
4/18/2020,137404,29160,1259
4/19/2020,143318,30357,1290
4/20/2020,148358,31508,1349
4/21/2020,154997,33059,1468
4/22/2020,164346,35108,1565
4/23/2020,173508,36934,1688
4/24/2020,189632,39658,1795
4/25/2020,201617,41777,1874
4/26/2020,214952,43903,1933
4/27/2020,227628,45883,1983
4/28/2020,242189,48102,2125
4/29/2020,256667,50355,2215
4/30/2020,269867,52918,2355
5/1/2020,284688,56055,2457
5/2/2020,299896,58505,2559
5/3/2020,319313,61499,2618
5/4/2020,333147,63840,2662
5/5/2020,346286,65962,2838
5/6/2020,361260,68232,2974
5/7/2020,379043,70873,3111
5/8/2020,399714,73760,3241
5/9/2020,416331,76085,3349
5/10/2020,429984,77741,3406
5/11/2020,442425,79007,3459
5/12/2020,471691,83021,3601
5/13/2020,489359,84698,3792
5/14/2020,512037,87937,3928
5/15/2020,538602,90369,4058
5/16/2020,561649,92457,4129
5/17/2020,581944,94191,4177
5/18/2020,603241,96485,4234
5/19/2020,621684,98030,4379
5/20/2020,642713,100418,4525
5/21/2020,672020,102686,4607
5/22/2020,697133,105444,4715
5/23/2020,722247,107796,4789
5/24/2020,747921,110304,4853
5/25/2020,769564,112017,4884
5/26/2020,786794,113195,4923
5/27/2020,803973,114306,5082
5/28/2020,829966,115833,5184
5/29/2020,851762,117455,5270
